dataset,model,accuracy,precision,recall,f1,auroc,auprc
TDBrain,iTransformer,74.67,74.71,74.67,74.65,83.37,83.73
TDBrain,FEDformer,78.13,78.52,78.13,78.04,86.56,86.48
TDBrain,PatchTST,79.25,79.60,79.25,79.20,87.95,86.36
TDBrain,CrossFormer,81.56,81.97,81.56,81.50,91.20,91.51
TDBrain,MedFormer,89.62,89.68,89.62,89.62,96.41,96.51
TDBrain,CoSupFormer,95.81,97.30,94.33,95.74,99.45,99.50
ADFTD,iTransformer,52.60,46.79,47.28,46.79,67.26,49.53
ADFTD,FEDformer,46.30,46.05,44.22,43.91,62.62,46.11
ADFTD,PatchTST,44.37,42.40,42.06,41.97,60.08,42.49
ADFTD,CrossFormer,50.45,45.57,45.88,45.50,66.45,48.33
ADFTD,MedFormer,53.27,51.02,50.71,50.65,70.93,51.21
ADFTD,CoSupFormer,54.95,51.18,51.26,50.88,70.43,53.72
